NRPD,POIT,MTPD,DSMT,13MT,14MT,CPIT,UMIT,PNIT,PBIT,VOIT,VLIT,MOIT,PLIT,CEIT,FEIT,STIP,ENIT,POEN,FEEN,HREN,CPEN,CTEN,STIT,BQEN,DSBQ,BQFA,DSBF,MTEN,DSEN,13EN,14EN,CPCP,SHID,HSID,CCEN,FECE,HRCE,CPCE,PNCC,PBCC,VOCC,PLCC,ENPG,PGFE,PGHR,PGUS,CDEN,ENRE,REFE,REHR,REUS,ENFA,ENFE,FATY,FAFE,FAHR,FAUS,CTFA,PNFA,PBFA,VOFA,VLFA,PLFA
2390038,10,121MZ1371,PIZZETA MOZZARELLA GRANEL COLOR 28X185G,,,1,CS,5.18,5.58,,3489.29,ARS,0.02,6207,02/10/2016,,83084052,10,02/05/2016,,,6207,C,,,,,121MZ1371,PIZZETA MOZZARELLA GRANEL COLOR 28X185G,,,1,2424978,,1,,,,5.18,5.58,,0.02,4915208437,02/05/2016,,,1,8059R00160177,,,,907655774,4508A00083720,ZF2,02/05/2016,,,1,5.18,5.58,,,0.02
2390038,20,121MZ1121,MOZZARELLA 10X470G,,,1,CS,4.7,5.845,,3489.29,ARS,0.01,6207,02/10/2016,,83084052,20,02/05/2016,,,6207,C,,,,,121MZ1121,MOZZARELLA 10X470G,,,1,2424978,,1,,,,4.7,5.845,,0.01,4915208437,02/05/2016,,,1,8059R00160177,,,,907655774,4508A00083720,ZF2,02/05/2016,,,1,4.7,5.845,,,0.01
2390038,30,121MZ2121,MOZZARELLA 5X940G,,,2,CS,9.4,11.2,,3489.29,ARS,0.03,6207,02/10/2016,,83084052,30,02/05/2016,,,6207,C,,,,,121MZ2121,MOZZARELLA 5X940G,,,2,2424978,,2,,,,9.4,11.2,,0.03,4915208437,02/05/2016,,,2,8059R00160177,,,,907655774,4508A00083720,ZF2,02/05/2016,,,2,9.4,11.2,,,0.03
2390038,40,121MZ2381,PIZZETA MICROONDAS MOZZARELLA 12X370G,,,1,CS,4.44,5.796,,3489.29,ARS,0.02,6207,02/10/2016,,83084052,40,02/05/2016,,,6207,C,,,,,121MZ2381,PIZZETA MICROONDAS MOZZARELLA 12X370G,,,1,2424978,,1,,,,4.44,5.796,,0.02,4915208437,02/05/2016,,,1,8059R00160177,,,,907655774,4508A00083720,ZF2,02/05/2016,,,1,4.44,5.796,,,0.02
2390039,10,121MZ1371,PIZZETA MOZZARELLA GRANEL COLOR 28X185G,,,1,CS,5.18,5.58,,831.52,ARS,0.02,6207,02/10/2016,,83084058,10,02/05/2016,,,6207,C,,,,,121MZ1371,PIZZETA MOZZARELLA GRANEL COLOR 28X185G,,,1,2424978,,1,,,,5.18,5.58,,0.02,4915208438,02/05/2016,,,1,8059R00160178,,,,907655776,4508A00083722,ZF2,02/05/2016,,,1,5.18,5.58,,,0.02
2390040,10,1000002504,MOZZARELLA 10X680G NUEVA SIBARITA,,,1,CS,6.8,7.48,,1428.65,ARS,0.02,6207,02/06/2016,,83084059,10,02/05/2016,,,6207,C,,,,,1000002504,MOZZARELLA 10X680G NUEVA SIBARITA,,,1,2424978,,1,,,,6.8,7.48,,0.02,4915208439,02/05/2016,,,1,8059R00160179,,,,907655782,4508A00083728,ZF2,02/05/2016,,,1,6.8,7.48,,,0.02
2390040,20,121MZ3311,PIZZETA MOZZARELLA 8X555G,,,1,CS,4.44,5.34,,1428.65,ARS,0.02,6207,02/06/2016,,83084059,20,02/05/2016,,,6207,C,,,,,121MZ3311,PIZZETA MOZZARELLA 8X555G,,,1,2424978,,1,,,,4.44,5.34,,0.02,4915208439,02/05/2016,,,1,8059R00160179,,,,907655782,4508A00083728,ZF2,02/05/2016,,,1,4.44,5.34,,,0.02
2390041,10,121MZ3311,PIZZETA MOZZARELLA 8X555G,,,1,CS,4.44,5.34,,1274.16,ARS,0.02,6207,02/06/2016,,83084060,10,02/05/2016,,,6207,C,,,,,121MZ3311,PIZZETA MOZZARELLA 8X555G,,,1,2424978,,1,,,,4.44,5.34,,0.02,4915208440,02/05/2016,,,1,8059R00160180,,,,907655781,4508A00083727,ZF2,02/05/2016,,,1,4.44,5.34,,,0.02
2390041,20,121MZ2121,MOZZARELLA 5X940G,,,1,CS,4.7,5.6,,1274.16,ARS,0.01,6207,02/06/2016,,83084060,20,02/05/2016,,,6207,C,,,,,121MZ2121,MOZZARELLA 5X940G,,,1,2424978,,1,,,,4.7,5.6,,0.01,4915208440,02/05/2016,,,1,8059R00160180,,,,907655781,4508A00083727,ZF2,02/05/2016,,,1,4.7,5.6,,,0.01
2390042,10,121MZ2121,MOZZARELLA 5X940G,,,1,CS,4.7,5.6,,1527.37,ARS,0.01,6207,02/06/2016,,83084061,10,02/05/2016,,,6207,C,,,,,121MZ2121,MOZZARELLA 5X940G,,,1,2424978,,1,,,,4.7,5.6,,0.01,4915208441,02/05/2016,,,1,8059R00160181,,,,907655777,4508A00083723,ZF2,02/05/2016,,,1,4.7,5.6,,,0.01
2390042,20,121MZ2381,PIZZETA MICROONDAS MOZZARELLA 12X370G,,,1,CS,4.44,5.796,,1527.37,ARS,0.02,6207,02/06/2016,,83084061,20,02/05/2016,,,6207,C,,,,,121MZ2381,PIZZETA MICROONDAS MOZZARELLA 12X370G,,,1,2424978,,1,,,,4.44,5.796,,0.02,4915208441,02/05/2016,,,1,8059R00160181,,,,907655777,4508A00083723,ZF2,02/05/2016,,,1,4.44,5.796,,,0.02
2390043,10,121MZ2121,MOZZARELLA 5X940G,,,1,CS,4.7,5.6,,550.71,ARS,0.01,6203,02/10/2016,,83084062,10,02/05/2016,,,6203,C,,,,,121MZ2121,MOZZARELLA 5X940G,,,1,2425554,,1,,,,4.7,5.6,,0.01,4915212279,02/05/2016,,,1,8162R00002243,,,,907655970,4505A00001409,ZF2,02/05/2016,,,1,4.7,5.6,,,0.01
2390044,10,121MZ1371,PIZZETA MOZZARELLA GRANEL COLOR 28X185G,,,1,CS,5.18,5.58,,2106.84,ARS,0.02,6204,02/06/2016,,83084063,10,02/05/2016,,,6204,C,,,,,121MZ1371,PIZZETA MOZZARELLA GRANEL COLOR 28X185G,,,1,2425555,,1,,,,5.18,5.58,,0.02,4915212336,02/05/2016,,,1,8161R00008120,,,,907655987,4504A00004671,ZF2,02/05/2016,,,1,5.18,5.58,,,0.02
2390044,20,121JA1111,MOZZARELLA Y JAMON 10X530G,,,1,CS,5.3,6.445,,2106.84,ARS,0.01,6204,02/06/2016,,83084063,20,02/05/2016,,,6204,C,,,,,121JA1111,MOZZARELLA Y JAMON 10X530G,,,1,2425555,,1,,,,5.3,6.445,,0.01,4915212336,02/05/2016,,,1,8161R00008120,,,,907655987,4504A00004671,ZF2,02/05/2016,,,1,5.3,6.445,,,0.01
2390044,30,121MZ2121,MOZZARELLA 5X940G,,,1,CS,4.7,5.6,,2106.84,ARS,0.01,6204,02/06/2016,,83084063,30,02/05/2016,,,6204,C,,,,,121MZ2121,MOZZARELLA 5X940G,,,1,2425555,,1,,,,4.7,5.6,,0.01,4915212336,02/05/2016,,,1,8161R00008120,,,,907655987,4504A00004671,ZF2,02/05/2016,,,1,4.7,5.6,,,0.01
2390045,10,121MZ2381,PIZZETA MICROONDAS MOZZARELLA 12X370G,,,1,CS,4.44,5.796,,976.66,ARS,0.02,6207,02/06/2016,,83084064,10,02/05/2016,,,6207,C,,,,,121MZ2381,PIZZETA MICROONDAS MOZZARELLA 12X370G,,,1,2424978,,1,,,,4.44,5.796,,0.02,4915208442,02/05/2016,,,1,8059R00160182,,,,907655779,4508A00083725,ZF2,02/05/2016,,,1,4.44,5.796,,,0.02
